Price,Close,High,Low,Open,Volume
Ticker,9021.T,9021.T,9021.T,9021.T,9021.T
Date,,,,,
2000-01-04,1108.569580078125,1124.316307067871,1102.2708892822266,1124.316307067871,117400
2000-01-05,1149.5111083984375,1171.5565269156677,1095.9722348565924,1108.5696168664383,201800
2000-01-06,1102.270751953125,1118.017476981027,1095.9720619419643,1118.017476981027,275200
2000-01-07,1133.76416015625,1143.2121948242186,1105.4200561523437,1105.4200561523437,360400
2000-01-10,1133.76416015625,1133.76416015625,1133.76416015625,1133.76416015625,0
2000-01-11,1067.6279296875,1118.0174484928098,1061.3292398368362,1118.0174484928098,367800
2000-01-12,1039.283935546875,1070.7773881392045,1039.283935546875,1061.3293523615057,477800
2000-01-13,1099.121337890625,1099.121337890625,1039.2837865441438,1039.2837865441438,294800
2000-01-14,1086.524169921875,1092.8228607620017,1051.8813703011776,1086.524169921875,207000
2000-01-17,1124.3162841796875,1130.6149748473608,1102.2708668428309,1118.0175935120142,172000
2000-01-18,1121.166748046875,1133.7641272384128,1099.1213344616835,1118.0174032489904,216400
2000-01-19,1108.569580078125,1118.0176162719727,1089.6735076904297,1118.0176162719727,175600
2000-01-20,1136.9134521484375,1162.1082100907852,1108.5693494632965,1124.3160731772637,337400
2000-01-21,1133.76416015625,1136.913505045573,1102.2707112630208,1105.4200561523437,165800
2000-01-24,1121.166748046875,1133.7641272384128,1102.2706792595682,1133.7641272384128,181200
2000-01-25,1108.569580078125,1143.2123794555664,1108.569580078125,1108.569580078125,127200
2000-01-26,1108.569580078125,1181.004524230957,1095.9721984863281,1140.0630340576172,438000
2000-01-27,1165.2576904296875,1165.2576904296875,1124.316204009185,1124.316204009185,755800
2000-01-28,1162.1085205078125,1168.4072116758766,1155.8098293397486,1162.1085205078125,631800
2000-01-31,1158.959228515625,1165.257919974949,1133.7644626783288,1133.7644626783288,482200
2000-02-01,1077.07568359375,1140.0625656752559,1077.07568359375,1127.4651892589548,297800
2000-02-02,1127.4659423828125,1158.9594044605446,1102.2711727206267,1121.1672499672661,286600
2000-02-03,1114.8682861328125,1124.3163224559719,1099.1215589275466,1118.0176315738656,228400
2000-02-04,1095.971923828125,1136.9134037412446,1086.5238900020204,1121.166680697737,320400
2000-02-07,1158.959228515625,1158.959228515625,1089.6736224630604,1092.8229681927223,277400
2000-02-08,1149.5111083984375,1152.660453900899,1102.2709258615155,1133.76438088613,247200
2000-02-09,1111.718505859375,1143.2119479517085,1105.4198174409082,1108.5691616501415,170000
2000-02-10,1080.2249755859375,1124.3157909159756,1080.2249755859375,1102.2703832509565,237000
2000-02-11,1080.2249755859375,1080.2249755859375,1080.2249755859375,1080.2249755859375,0
2000-02-14,1095.971923828125,1095.971923828125,1080.2252007846175,1095.971923828125,145000
2000-02-15,1061.329345703125,1089.6734528584013,1026.6865480688982,1080.225417139976,278600
2000-02-16,1017.2386474609375,1067.6281779853184,1007.7906104876162,1064.4788323275445,248400
2000-02-17,1048.7318115234375,1067.6278801995354,1007.7903293918919,1017.2383637299408,256600
2000-02-18,1039.283935546875,1039.283935546875,1029.8358997691762,1039.283935546875,454400
2000-02-21,1007.7906494140625,1036.1347614288331,966.8491542816163,1026.6867240905763,347200
2000-02-22,1004.6407470703125,1023.5368112785317,960.5499305844681,1023.5368112785317,292000
2000-02-23,1070.7774658203125,1070.7774658203125,1014.0892470415902,1051.8813928940717,293400
2000-02-24,1051.881103515625,1070.7771712434505,1039.2837250304078,1039.2837250304078,410600
2000-02-25,1095.971923828125,1099.1212684368265,1039.283720871498,1051.881099306304,183200
2000-02-28,1048.7318115234375,1070.777224978885,1048.7318115234375,1070.777224978885,276400
2000-02-29,1032.9852294921875,1051.8813007633862,1010.9398130091226,1048.7319555515196,462200
2000-03-01,1051.881103515625,1058.1797927582336,1007.7902788173652,1039.2837250304078,356600
2000-03-02,1073.9263916015625,1092.822457142939,1039.2836047757057,1039.2836047757057,189200
2000-03-03,1070.7774658203125,1089.6735387465533,1055.0307383817785,1073.9268113080193,147600
2000-03-06,1061.329345703125,1092.8227980978763,1039.283929026799,1070.7773814215504,106400
2000-03-07,1118.0177001953125,1121.1670458296655,1061.3294787769587,1061.3294787769587,174800
2000-03-08,1136.9134521484375,1177.8549338047524,1102.2706599777096,1118.0173836916767,374800
2000-03-09,1136.9134521484375,1165.2575548335785,1136.9134521484375,1149.5108311196113,253400
2000-03-10,1177.8544921875,1177.8544921875,1136.9130258815173,1165.2571179395054,985200
2000-03-13,1165.2576904296875,1181.0044159760346,1140.062929555532,1181.0044159760346,158200
2000-03-14,1165.2576904296875,1174.7057257574959,1143.2122746648015,1162.108345320418,218800
2000-03-15,1165.2576904296875,1165.2576904296875,1133.7642393369933,1165.2576904296875,156000
2000-03-16,1187.3031005859375,1187.3031005859375,1095.9720928485576,1133.7642339812667,157200
2000-03-17,1181.00439453125,1181.00439453125,1124.3161835937499,1124.3161835937499,151200
2000-03-20,1181.00439453125,1181.00439453125,1181.00439453125,1181.00439453125,0
2000-03-21,1095.971923828125,1181.0042282630657,1092.8225792194235,1181.0042282630657,196200
2000-03-22,1152.660400390625,1152.660400390625,1127.4656375405566,1127.4656375405566,112200
2000-03-23,1124.3162841796875,1152.6603921842175,1111.7189028443408,1136.9136655150342,153600
2000-03-24,1108.569580078125,1130.6149978637695,1102.2708892822266,1124.316307067871,103800
2000-03-27,1118.0177001953125,1158.9591934419013,1105.4203176579006,1118.0177001953125,210600
2000-03-28,1173.5216064453125,1179.864966480152,1141.8048062711148,1167.1782464104729,133600
2000-03-29,1202.067138671875,1211.5821819859004,1173.522008729799,1189.3804142531744,240600
2000-03-30,1119.60302734375,1183.036626626682,1110.08798745131,1138.6331071286295,240400
2000-03-31,1160.8349609375,1195.7234433700478,1141.8048796106557,1151.3199202740777,195600
2000-04-03,1189.380126953125,1189.380126953125,1148.1482825520832,1176.6934055989582,84400
